substation,year,month,day,hour,consumption
AJAHUEL,2017,2,1008,684,1554.286738
AJAHUEL,2017,3,47616,34224,83016.659832
AJAHUEL,2017,4,44640,33120,82970.896213
AJAHUEL,2017,5,47668,34316,110803.259066
AJAHUEL,2017,6,44640,33120,129201.086221
AJAHUEL,2017,7,47616,34224,109939.864084
AJAHUEL,2017,8,47564,34224,130022.068363
AJAHUEL,2017,9,44640,33120,115816.371093
AJAHUEL,2017,10,47616,34224,89930.882127
AJAHUEL,2017,11,44640,33120,103653.181809
AJAHUEL,2017,12,47616,34224,105658.266123
AJAHUEL,2018,1,47616,34224,103767.907166
AJAHUEL,2018,2,38976,30912,79212.76326
AJAHUEL,2018,3,47616,34224,110853.490237
AJAHUEL,2018,4,43968,32760,113959.734969
AJAHUEL,2018,5,47664,34316,133178.088613
AJAHUEL,2018,6,44640,33120,145833.036187
AJAHUEL,2018,7,47616,34224,160296.856523
AJAHUEL,2018,8,47568,34224,146265.153259
AJAHUEL,2018,9,44640,33120,121691.613393
AJAHUEL,2018,10,47616,34224,142250.206454
AJAHUEL,2018,11,44640,33120,113060.226954
AJAHUEL,2018,12,47616,34224,88486.775416
AJAHUEL,2019,1,47616,34224,87759.639534
AJAHUEL,2019,2,38976,30912,72415.718497
AJAHUEL,2019,3,47616,34224,103454.018519
AJAHUEL,2019,4,44664,33212,99377.570905
AJAHUEL,2019,5,47616,34224,126829.351717
AJAHUEL,2019,6,44640,33120,149885.981933
AJAHUEL,2019,7,47616,34224,151639.291383
AJAHUEL,2019,8,47616,34224,148494.285792
AJAHUEL,2019,9,44608,33120,121030.675306
AJAHUEL,2019,10,47616,34224,119822.604789
AJAHUEL,2019,11,44640,33120,100170.799336
AJAHUEL,2019,12,47616,34224,100461.076278
AJAHUEL,2020,1,47616,34224,92742.917457
AJAHUEL,2020,2,41760,32016,85181.895709
AJAHUEL,2020,3,47616,34224,100698.453315
AJAHUEL,2020,4,44656,33212,102715.50639
AJAHUEL,2020,5,47616,34224,117775.077917
AJAHUEL,2020,6,44640,33120,124179.670284
AJAHUEL,2020,7,47616,34224,145520.066693
AJAHUEL,2020,8,47616,34224,131331.145829
AJAHUEL,2020,9,44480,32948,107687.497305
AJAHUEL,2020,10,47616,34224,106431.152822
AJAHUEL,2020,11,44640,33120,92722.878837
AJAHUEL,2020,12,47616,34224,89010.008239
AJAHUEL,2021,1,47616,34224,89620.586479
AJAHUEL,2021,2,38976,30912,79084.425655
AJAHUEL,2021,3,33896,28248,83876.774148
AJAHUEL,2021,4,44328,32948,110947.766495
AJAHUEL,2021,5,47568,34116,124680.05348
AJAHUEL,2021,6,44640,33120,134974.171515
AJAHUEL,2021,7,47616,34224,143545.776465
AJAHUEL,2021,8,47616,34224,148704.693644
AJAHUEL,2021,9,44620,33120,135219.343072
AJAHUEL,2021,10,47616,34224,123195.338659
AJAHUEL,2021,11,44640,33120,93537.655543
AJAHUEL,2021,12,47616,34224,102474.439981
AJAHUEL,2022,1,47616,34224,94152.834992
AJAHUEL,2022,2,38976,30912,90439.418913
AJAHUEL,2022,3,95232,68448,228110.58475
AJAHUEL,2022,4,89296,66424,197074.15185
AJAHUEL,2022,5,95232,68448,239285.872593
AJAHUEL,2022,6,44640,33120,150937.560895
AJAHUEL,2022,7,47616,34224,171755.714963
AJAHUEL,2022,8,47616,34224,171883.193906
AJAHUEL,2022,9,44596,33120,133555.776125
AJAHUEL,2022,10,47616,34224,112110.799789
AJAHUEL,2022,11,44640,33120,83739.24858
AJAHUEL,2022,12,47616,34224,86609.22544
AJAHUEL,2023,1,47616,34224,95467.409729
AJAHUEL,2023,2,38976,30912,95952.37009
AJAHUEL,2023,3,47616,34224,119364.042692
AJAHUEL,2023,4,44644,33212,119329.963735
AJAHUEL,2023,5,47616,34224,143167.145918
AJAHUEL,2023,6,36288,29808,137415.850917
BUIN,2017,2,1260,855,-10.632139000000075
BUIN,2017,3,59520,42780,-1039.094000000001
BUIN,2017,4,55800,41400,-1005.4905810000006
BUIN,2017,5,59585,42895,-1000.2247450000017
BUIN,2017,6,55800,41400,-968.4704610000023
BUIN,2017,7,59520,42780,-1014.9358610000019
BUIN,2017,8,59455,42780,-988.9927210000016
BUIN,2017,9,55800,41400,-992.8711820000018
BUIN,2017,10,59520,42780,-938.2422510000013
BUIN,2017,11,55800,41400,-881.4861410000033
BUIN,2017,12,59520,42780,-942.8737910000025
BUIN,2018,1,59520,42780,-963.5000910000025
BUIN,2018,2,48720,38640,-874.3837000000021
BUIN,2018,3,59520,42780,-1006.202484000002
BUIN,2018,4,54960,40950,-944.2131900000021
BUIN,2018,5,59580,42895,-1007.1237650000023
BUIN,2018,6,55800,41400,-952.3692310000015
BUIN,2018,7,59520,42780,-985.9596720000022
BUIN,2018,8,59460,42780,-1000.8943450000019
BUIN,2018,9,55800,41400,-995.0258470000017
BUIN,2018,10,59520,42780,-942.9833140000032
BUIN,2018,11,55800,41400,-917.1225530000025
BUIN,2018,12,59520,42780,-987.8029150000017
BUIN,2019,1,59520,42780,-1002.8595550000018
BUIN,2019,2,48720,38640,-890.3958600000013
BUIN,2019,3,59520,42780,-1556.7055480000015
BUIN,2019,4,55830,41515,-1018.1871790000004
BUIN,2019,5,59520,42780,-1043.964353000002
BUIN,2019,6,55800,41400,-958.0588590000003
BUIN,2019,7,59520,42780,-963.4939930000021
BUIN,2019,8,59520,42780,-969.7039590000022
BUIN,2019,9,55760,41400,-995.9005150000023
BUIN,2019,10,59520,42780,-1053.1275770000013
BUIN,2019,11,55800,41400,-984.036874000003
BUIN,2019,12,59520,42780,-1007.6082820000022
BUIN,2020,1,59520,42780,-986.8799350000024
BUIN,2020,2,52200,40020,-905.7389480000015
BUIN,2020,3,59520,42780,-1023.5665490000013
BUIN,2020,4,55820,41515,-1106.554230000001
BUIN,2020,5,59520,42780,-1113.4284440000013
BUIN,2020,6,55800,41400,-992.6538090000008
BUIN,2020,7,59520,42780,-1042.0025490000016
BUIN,2020,8,59520,42780,-1037.1920890000017
BUIN,2020,9,55600,41185,-999.8285900000028
BUIN,2020,10,59520,42780,-988.9883480000029
BUIN,2020,11,55800,41400,-937.3264210000032
BUIN,2020,12,59520,42780,-1020.2442080000035
BUIN,2021,1,59520,42780,-1057.883657000003
BUIN,2021,2,48720,38640,-955.7990220000015
BUIN,2021,3,42370,35310,-879.2186180000012
BUIN,2021,4,55410,41185,-1041.2398190000015
BUIN,2021,5,59460,42645,-1070.0530880000017
BUIN,2021,6,55800,41400,-1003.1801190000022
BUIN,2021,7,59520,42780,-1027.8325560000007
BUIN,2021,8,59520,42780,-1035.2071100000016
BUIN,2021,9,55775,41400,-1002.8274540000023
BUIN,2021,10,59520,42780,-1025.3176220000023
BUIN,2021,11,55800,41400,-934.291176000002
BUIN,2021,12,59520,42780,-931.1337610000028
BUIN,2022,1,59520,42780,-992.2919120000016
BUIN,2022,2,48720,38640,-869.1618600000022
BUIN,2022,3,119040,85560,-1949.0991610000035
BUIN,2022,4,111620,83030,-1963.3581810000042
BUIN,2022,5,119040,85560,-1999.9026320000041
BUIN,2022,6,55800,41400,-976.1127240000021
BUIN,2022,7,59520,42780,-969.8047710000027
BUIN,2022,8,59520,42780,-954.6384970000031
BUIN,2022,9,55745,41400,-977.7035180000018
BUIN,2022,10,59520,42780,-996.5699120000024
BUIN,2022,11,55800,41400,-946.4694160000024
BUIN,2022,12,59520,42780,-970.4050670000023
BUIN,2023,1,59520,42780,-967.1032630000019
BUIN,2023,2,48720,38640,-878.4154120000014
BUIN,2023,3,59520,42780,-963.9463810000016
BUIN,2023,4,55805,41515,-992.2709330000012
BUIN,2023,5,59520,42780,-1048.6205140000013
BUIN,2023,6,45360,37260,-867.9047700000027
CHENA,2017,2,1260,855,1994.880091
CHENA,2017,3,59520,42780,103962.830661
CHENA,2017,4,55800,41400,102149.033404
CHENA,2017,5,59585,42895,126968.911683
CHENA,2017,6,55800,41400,141877.631742
CHENA,2017,7,59520,42780,144993.161232
CHENA,2017,8,59455,42780,139947.294578
CHENA,2017,9,55800,41400,123831.136796
CHENA,2017,10,59520,42780,148136.418594
CHENA,2017,11,55800,41400,146239.078502
CHENA,2017,12,59520,42780,148048.232516
CHENA,2018,1,59520,42780,146713.912626
CHENA,2018,2,48720,38640,126660.551849
CHENA,2018,3,59520,42780,139691.137197
CHENA,2018,4,54960,40950,131310.70944
CHENA,2018,5,59580,42895,144169.452044
CHENA,2018,6,55800,41400,135541.507274
CHENA,2018,7,59520,42780,155518.30293
CHENA,2018,8,59460,42780,141387.575197
CHENA,2018,9,55800,41400,125644.975366
CHENA,2018,10,59520,42780,150952.07624
CHENA,2018,11,55800,41400,149624.15841
CHENA,2018,12,59520,42780,129757.366483
CHENA,2019,1,59520,42780,127043.388717
CHENA,2019,2,48720,38640,114297.520791
CHENA,2019,3,59520,42780,129025.333219
CHENA,2019,4,55830,41515,112155.550845
CHENA,2019,5,59520,42780,133390.513439
CHENA,2019,6,55800,41400,152302.87631
CHENA,2019,7,59520,42780,162673.568444
CHENA,2019,8,59520,42780,162929.374645
CHENA,2019,9,55760,41400,133222.963544
CHENA,2019,10,59520,42780,135289.331146
CHENA,2019,11,55800,41400,135209.273071
CHENA,2019,12,59520,42780,145474.124435
CHENA,2020,1,59520,42780,132849.583164
CHENA,2020,2,52200,40020,121516.584326
CHENA,2020,3,59520,42780,125142.319464
CHENA,2020,4,55820,41515,109320.373905
CHENA,2020,5,59520,42780,122626.173768
CHENA,2020,6,55800,41400,148035.518414
CHENA,2020,7,59520,42780,157265.313299
