date,consumption,t_media,w,h
2018-01-01 00:00:00,34.33271,20.2,0,0
2018-01-01 01:00:00,31.01138725,20.2,0,1
2018-01-01 02:00:00,29.53445275,20.2,0,2
2018-01-01 03:00:00,26.97487475,20.2,0,3
2018-01-01 04:00:00,25.090517249999998,20.2,0,4
2018-01-01 05:00:00,23.37928375,20.2,0,5
2018-01-01 06:00:00,21.63048575,20.2,0,6
2018-01-01 07:00:00,19.55444575,20.2,0,7
2018-01-01 08:00:00,17.974251250000002,20.2,0,8
2018-01-01 09:00:00,18.95003725,20.2,0,9
2018-01-01 10:00:00,20.4861765,20.2,0,10
2018-01-01 11:00:00,22.68361125,20.2,0,11
2018-01-01 12:00:00,24.98423175,20.2,0,12
2018-01-01 13:00:00,26.6826845,20.2,0,13
2018-01-01 14:00:00,28.493236250000002,20.2,0,14
2018-01-01 15:00:00,27.225165000000004,20.2,0,15
2018-01-01 16:00:00,25.25404125,20.2,0,16
2018-01-01 17:00:00,25.047600499999998,20.2,0,17
2018-01-01 18:00:00,24.86664,20.2,0,18
2018-01-01 19:00:00,24.491287999999997,20.2,0,19
2018-01-01 20:00:00,25.90664775,20.2,0,20
2018-01-01 21:00:00,26.53422925,20.2,0,21
2018-01-01 22:00:00,33.19649925,20.2,0,22
2018-01-01 23:00:00,35.582185499999994,20.2,0,23
2018-01-02 00:00:00,30.77490025,21.1,1,0
2018-01-02 01:00:00,24.867407,21.1,1,1
2018-01-02 02:00:00,19.407648000000002,21.1,1,2
2018-01-02 03:00:00,16.714434,21.1,1,3
2018-01-02 04:00:00,15.727652249999998,21.1,1,4
2018-01-02 05:00:00,15.25178,21.1,1,5
2018-01-02 06:00:00,16.15700675,21.1,1,6
2018-01-02 07:00:00,19.090976,21.1,1,7
2018-01-02 08:00:00,22.62200575,21.1,1,8
2018-01-02 09:00:00,28.9053765,21.1,1,9
2018-01-02 10:00:00,33.40211475,21.1,1,10
2018-01-02 11:00:00,37.55995625,21.1,1,11
2018-01-02 12:00:00,42.24234575,21.1,1,12
2018-01-02 13:00:00,45.126068000000004,21.1,1,13
2018-01-02 14:00:00,47.24289975,21.1,1,14
2018-01-02 15:00:00,48.167893250000006,21.1,1,15
2018-01-02 16:00:00,49.74213400000001,21.1,1,16
2018-01-02 17:00:00,48.834658749999996,21.1,1,17
2018-01-02 18:00:00,47.30276725,21.1,1,18
2018-01-02 19:00:00,44.9141645,21.1,1,19
2018-01-02 20:00:00,42.646514749999994,21.1,1,20
2018-01-02 21:00:00,41.957747749999996,21.1,1,21
2018-01-02 22:00:00,47.58896175,21.1,1,22
2018-01-02 23:00:00,46.52608525,21.1,1,23
2018-01-03 00:00:00,40.64361175,22.3,2,0
2018-01-03 01:00:00,32.698837,22.3,2,1
2018-01-03 02:00:00,26.718129750000003,22.3,2,2
2018-01-03 03:00:00,22.957766499999998,22.3,2,3
2018-01-03 04:00:00,21.52058975,22.3,2,4
2018-01-03 05:00:00,20.7629315,22.3,2,5
2018-01-03 06:00:00,22.26349625,22.3,2,6
2018-01-03 07:00:00,25.23732625,22.3,2,7
2018-01-03 08:00:00,28.71872275,22.3,2,8
2018-01-03 09:00:00,34.837638999999996,22.3,2,9
2018-01-03 10:00:00,39.917739,22.3,2,10
2018-01-03 11:00:00,43.199674,22.3,2,11
2018-01-03 12:00:00,46.93723775,22.3,2,12
2018-01-03 13:00:00,49.023324,22.3,2,13
2018-01-03 14:00:00,50.40896675,22.3,2,14
2018-01-03 15:00:00,51.520922750000004,22.3,2,15
2018-01-03 16:00:00,52.262232499999996,22.3,2,16
2018-01-03 17:00:00,52.5175455,22.3,2,17
2018-01-03 18:00:00,50.596245249999996,22.3,2,18
2018-01-03 19:00:00,47.70648800000001,22.3,2,19
2018-01-03 20:00:00,0.6723359999999996,22.3,2,20
2018-01-03 21:00:00,11.961644499999998,22.3,2,21
2018-01-03 22:00:00,-11.5417445,22.3,2,22
2018-01-03 23:00:00,-18.38819,22.3,2,23
2018-01-04 00:00:00,-18.37241125,21.9,3,0
2018-01-04 01:00:00,-18.1096875,21.9,3,1
2018-01-04 02:00:00,16.103174250000002,21.9,3,2
2018-01-04 03:00:00,21.634616749999996,21.9,3,3
2018-01-04 04:00:00,20.099810750000003,21.9,3,4
2018-01-04 05:00:00,18.3730115,21.9,3,5
2018-01-04 06:00:00,19.074355999999998,21.9,3,6
2018-01-04 07:00:00,23.4955365,21.9,3,7
2018-01-04 08:00:00,27.89979525,21.9,3,8
2018-01-04 09:00:00,35.039021250000005,21.9,3,9
2018-01-04 10:00:00,39.79740425,21.9,3,10
2018-01-04 11:00:00,43.029662,21.9,3,11
2018-01-04 12:00:00,45.76668275,21.9,3,12
2018-01-04 13:00:00,48.8373075,21.9,3,13
2018-01-04 14:00:00,50.62997375,21.9,3,14
2018-01-04 15:00:00,51.7506015,21.9,3,15
2018-01-04 16:00:00,52.02511125,21.9,3,16
2018-01-04 17:00:00,51.2460815,21.9,3,17
2018-01-04 18:00:00,49.299783500000004,21.9,3,18
2018-01-04 19:00:00,45.877441250000004,21.9,3,19
2018-01-04 20:00:00,42.21327975,21.9,3,20
2018-01-04 21:00:00,41.524936000000004,21.9,3,21
2018-01-04 22:00:00,46.012471500000004,21.9,3,22
2018-01-04 23:00:00,44.960294,21.9,3,23
2018-01-05 00:00:00,39.8240675,22.2,4,0
2018-01-05 01:00:00,32.423486249999996,22.2,4,1
2018-01-05 02:00:00,26.9766135,22.2,4,2
2018-01-05 03:00:00,22.8201495,22.2,4,3
2018-01-05 04:00:00,22.257786749999998,22.2,4,4
2018-01-05 05:00:00,20.827995,22.2,4,5
2018-01-05 06:00:00,21.573147000000002,22.2,4,6
2018-01-05 07:00:00,25.463894999999997,22.2,4,7
2018-01-05 08:00:00,28.736556,22.2,4,8
2018-01-05 09:00:00,35.70442075,22.2,4,9
2018-01-05 10:00:00,41.240161,22.2,4,10
2018-01-05 11:00:00,44.161210749999995,22.2,4,11
2018-01-05 12:00:00,45.753578499999996,22.2,4,12
2018-01-05 13:00:00,52.9569235,22.2,4,13
2018-01-05 14:00:00,54.002288750000005,22.2,4,14
2018-01-05 15:00:00,55.5860725,22.2,4,15
2018-01-05 16:00:00,55.588457250000005,22.2,4,16
2018-01-05 17:00:00,54.3489015,22.2,4,17
2018-01-05 18:00:00,53.298227999999995,22.2,4,18
2018-01-05 19:00:00,49.57546675,22.2,4,19
2018-01-05 20:00:00,45.149511000000004,22.2,4,20
2018-01-05 21:00:00,44.554332,22.2,4,21
2018-01-05 22:00:00,50.9295455,22.2,4,22
2018-01-05 23:00:00,52.914006,22.2,4,23
2018-01-06 00:00:00,48.45447475,24.1,5,0
2018-01-06 01:00:00,42.695674499999996,24.1,5,1
2018-01-06 02:00:00,36.93609,24.1,5,2
2018-01-06 03:00:00,32.373200250000004,24.1,5,3
2018-01-06 04:00:00,30.1686975,24.1,5,4
2018-01-06 05:00:00,29.479272,24.1,5,5
2018-01-06 06:00:00,28.627083000000002,24.1,5,6
2018-01-06 07:00:00,27.11138775,24.1,5,7
