date,consumption,t_media,w,h
2018-01-01 00:00:00,-0.29394479999999873,20.2,0,0
2018-01-01 01:00:00,-0.2971673999999996,20.2,0,1
2018-01-01 02:00:00,-0.3018292000000019,20.2,0,2
2018-01-01 03:00:00,-0.3073237999999992,20.2,0,3
2018-01-01 04:00:00,-0.3128186000000016,20.2,0,4
2018-01-01 05:00:00,-0.3152638000000013,20.2,0,5
2018-01-01 06:00:00,-0.3197426000000005,20.2,0,6
2018-01-01 07:00:00,-0.3216179999999992,20.2,0,7
2018-01-01 08:00:00,-0.32451179999999935,20.2,0,8
2018-01-01 09:00:00,-0.3280568000000005,20.2,0,9
2018-01-01 10:00:00,-0.321237000000001,20.2,0,10
2018-01-01 11:00:00,-0.31250960000000305,20.2,0,11
2018-01-01 12:00:00,-0.3095244000000006,20.2,0,12
2018-01-01 13:00:00,-0.308919,20.2,0,13
2018-01-01 14:00:00,-0.30579079999999814,20.2,0,14
2018-01-01 15:00:00,-0.3034798000000012,20.2,0,15
2018-01-01 16:00:00,-0.304267199999997,20.2,0,16
2018-01-01 17:00:00,-0.3091566000000017,20.2,0,17
2018-01-01 18:00:00,-0.30722300000000075,20.2,0,18
2018-01-01 19:00:00,-0.30825160000000434,20.2,0,19
2018-01-01 20:00:00,-0.30382120000000323,20.2,0,20
2018-01-01 21:00:00,-0.3027536000000043,20.2,0,21
2018-01-01 22:00:00,-0.2916956000000016,20.2,0,22
2018-01-01 23:00:00,-0.28847580000000217,20.2,0,23
2018-01-02 00:00:00,-0.2958623999999984,21.1,1,0
2018-01-02 01:00:00,-0.31216759999999677,21.1,1,1
2018-01-02 02:00:00,-0.3204198000000008,21.1,1,2
2018-01-02 03:00:00,-0.3239419999999984,21.1,1,3
2018-01-02 04:00:00,-0.3240494000000015,21.1,1,4
2018-01-02 05:00:00,-0.32605480000000026,21.1,1,5
2018-01-02 06:00:00,-0.3191048000000012,21.1,1,6
2018-01-02 07:00:00,-0.3109436000000005,21.1,1,7
2018-01-02 08:00:00,-0.3023694000000023,21.1,1,8
2018-01-02 09:00:00,-0.28239539999999463,21.1,1,9
2018-01-02 10:00:00,-0.2271046000000001,21.1,1,10
