date,consumption,t_media,w,h
2018-01-01 00:00:00,35.97835744444445,20.2,0,0
2018-01-01 01:00:00,33.33606311111111,20.2,0,1
2018-01-01 02:00:00,32.52266322222223,20.2,0,2
2018-01-01 03:00:00,30.56366322222222,20.2,0,3
2018-01-01 04:00:00,28.553889,20.2,0,4
2018-01-01 05:00:00,27.436687666666664,20.2,0,5
2018-01-01 06:00:00,26.27327411111111,20.2,0,6
2018-01-01 07:00:00,24.90115722222222,20.2,0,7
2018-01-01 08:00:00,24.317792555555556,20.2,0,8
2018-01-01 09:00:00,25.32494677777778,20.2,0,9
2018-01-01 10:00:00,26.327138,20.2,0,10
2018-01-01 11:00:00,28.292806555555554,20.2,0,11
2018-01-01 12:00:00,29.493138000000002,20.2,0,12
2018-01-01 13:00:00,31.055597555555558,20.2,0,13
2018-01-01 14:00:00,32.69748222222222,20.2,0,14
2018-01-01 15:00:00,33.450272222222225,20.2,0,15
2018-01-01 16:00:00,33.12059422222222,20.2,0,16
2018-01-01 17:00:00,32.839973,20.2,0,17
2018-01-01 18:00:00,33.130565000000004,20.2,0,18
2018-01-01 19:00:00,33.09699066666667,20.2,0,19
2018-01-01 20:00:00,34.12530044444444,20.2,0,20
2018-01-01 21:00:00,35.07168033333333,20.2,0,21
2018-01-01 22:00:00,39.17719022222222,20.2,0,22
2018-01-01 23:00:00,39.33390722222222,20.2,0,23
2018-01-02 00:00:00,36.16466577777778,21.1,1,0
2018-01-02 01:00:00,32.132635666666665,21.1,1,1
2018-01-02 02:00:00,28.753665888888886,21.1,1,2
2018-01-02 03:00:00,27.399322,21.1,1,3
2018-01-02 04:00:00,26.85012188888889,21.1,1,4
2018-01-02 05:00:00,26.499321666666667,21.1,1,5
2018-01-02 06:00:00,27.755742444444444,21.1,1,6
2018-01-02 07:00:00,30.56278988888889,21.1,1,7
2018-01-02 08:00:00,34.87230677777778,21.1,1,8
2018-01-02 09:00:00,41.809626333333334,21.1,1,9
2018-01-02 10:00:00,47.226318222222226,21.1,1,10
2018-01-02 11:00:00,48.30867533333333,21.1,1,11
2018-01-02 12:00:00,50.663342,21.1,1,12
2018-01-02 13:00:00,50.78497166666667,21.1,1,13
2018-01-02 14:00:00,52.096525,21.1,1,14
2018-01-02 15:00:00,55.396699444444444,21.1,1,15
2018-01-02 16:00:00,58.26892933333334,21.1,1,16
2018-01-02 17:00:00,59.428454555555554,21.1,1,17
2018-01-02 18:00:00,57.46993633333333,21.1,1,18
2018-01-02 19:00:00,52.914520555555555,21.1,1,19
2018-01-02 20:00:00,50.63308611111111,21.1,1,20
2018-01-02 21:00:00,49.19370211111111,21.1,1,21
2018-01-02 22:00:00,52.062024,21.1,1,22
2018-01-02 23:00:00,50.72076722222222,21.1,1,23
2018-01-03 00:00:00,46.195860555555555,22.3,2,0
2018-01-03 01:00:00,40.721364888888886,22.3,2,1
2018-01-03 02:00:00,36.79879088888889,22.3,2,2
2018-01-03 03:00:00,34.18078477777778,22.3,2,3
2018-01-03 04:00:00,33.10030233333333,22.3,2,4
2018-01-03 05:00:00,32.67326944444445,22.3,2,5
2018-01-03 06:00:00,33.934970222222226,22.3,2,6
2018-01-03 07:00:00,36.78165033333333,22.3,2,7
2018-01-03 08:00:00,40.76105811111111,22.3,2,8
2018-01-03 09:00:00,48.022769555555556,22.3,2,9
2018-01-03 10:00:00,53.36403677777778,22.3,2,10
2018-01-03 11:00:00,55.58498488888889,22.3,2,11
2018-01-03 12:00:00,58.41707377777777,22.3,2,12
2018-01-03 13:00:00,59.56609377777777,22.3,2,13
2018-01-03 14:00:00,61.005242,22.3,2,14
2018-01-03 15:00:00,61.21840266666666,22.3,2,15
2018-01-03 16:00:00,63.97250277777778,22.3,2,16
2018-01-03 17:00:00,63.77060211111112,22.3,2,17
2018-01-03 18:00:00,62.35079733333334,22.3,2,18
2018-01-03 19:00:00,58.16661511111111,22.3,2,19
2018-01-03 20:00:00,55.132289,22.3,2,20
2018-01-03 21:00:00,52.578346555555555,22.3,2,21
2018-01-03 22:00:00,56.76213522222222,22.3,2,22
2018-01-03 23:00:00,55.77579322222223,22.3,2,23
2018-01-04 00:00:00,50.942872666666666,21.9,3,0
2018-01-04 01:00:00,43.85184022222222,21.9,3,1
2018-01-04 02:00:00,37.49192133333334,21.9,3,2
2018-01-04 03:00:00,34.675934000000005,21.9,3,3
2018-01-04 04:00:00,33.58624144444444,21.9,3,4
2018-01-04 05:00:00,33.18092088888889,21.9,3,5
2018-01-04 06:00:00,33.906305555555555,21.9,3,6
2018-01-04 07:00:00,36.378927555555556,21.9,3,7
2018-01-04 08:00:00,40.036620222222226,21.9,3,8
2018-01-04 09:00:00,47.51370333333333,21.9,3,9
2018-01-04 10:00:00,51.38294744444445,21.9,3,10
2018-01-04 11:00:00,52.80691755555555,21.9,3,11
2018-01-04 12:00:00,53.696825000000004,21.9,3,12
2018-01-04 13:00:00,55.39921066666667,21.9,3,13
2018-01-04 14:00:00,56.45451144444444,21.9,3,14
2018-01-04 15:00:00,57.949984666666666,21.9,3,15
2018-01-04 16:00:00,58.77770577777778,21.9,3,16
2018-01-04 17:00:00,58.293923666666664,21.9,3,17
2018-01-04 18:00:00,56.329137111111116,21.9,3,18
2018-01-04 19:00:00,53.00955922222222,21.9,3,19
2018-01-04 20:00:00,49.83961977777778,21.9,3,20
2018-01-04 21:00:00,48.1947,21.9,3,21
2018-01-04 22:00:00,50.048761444444445,21.9,3,22
2018-01-04 23:00:00,48.61254433333333,21.9,3,23
2018-01-05 00:00:00,44.293877555555554,22.2,4,0
2018-01-05 01:00:00,40.819518333333335,22.2,4,1
2018-01-05 02:00:00,38.212311,22.2,4,2
2018-01-05 03:00:00,35.55800544444444,22.2,4,3
2018-01-05 04:00:00,34.55854033333333,22.2,4,4
2018-01-05 05:00:00,34.03849188888889,22.2,4,5
2018-01-05 06:00:00,35.32754833333334,22.2,4,6
2018-01-05 07:00:00,37.85649188888888,22.2,4,7
2018-01-05 08:00:00,41.987738888888885,22.2,4,8
2018-01-05 09:00:00,48.51231322222222,22.2,4,9
2018-01-05 10:00:00,53.20179033333333,22.2,4,10
2018-01-05 11:00:00,52.75960411111111,22.2,4,11
2018-01-05 12:00:00,48.96531022222222,22.2,4,12
2018-01-05 13:00:00,44.66132011111111,22.2,4,13
2018-01-05 14:00:00,45.579754666666666,22.2,4,14
2018-01-05 15:00:00,47.08567877777777,22.2,4,15
2018-01-05 16:00:00,47.54686166666667,22.2,4,16
2018-01-05 17:00:00,46.29038055555556,22.2,4,17
2018-01-05 18:00:00,47.10959344444444,22.2,4,18
2018-01-05 19:00:00,40.34888977777778,22.2,4,19
2018-01-05 20:00:00,37.292761222222225,22.2,4,20
2018-01-05 21:00:00,34.99619877777778,22.2,4,21
2018-01-05 22:00:00,40.73904622222222,22.2,4,22
2018-01-05 23:00:00,51.04471344444445,22.2,4,23
2018-01-06 00:00:00,47.489042222222224,24.1,5,0
2018-01-06 01:00:00,43.111407,24.1,5,1
2018-01-06 02:00:00,39.393167444444444,24.1,5,2
2018-01-06 03:00:00,36.60416511111111,24.1,5,3
2018-01-06 04:00:00,34.62727066666667,24.1,5,4
2018-01-06 05:00:00,33.945109111111115,24.1,5,5
2018-01-06 06:00:00,33.65688,24.1,5,6
2018-01-06 07:00:00,33.808776333333334,24.1,5,7
2018-01-06 08:00:00,34.99683011111111,24.1,5,8
2018-01-06 09:00:00,37.590204111111106,24.1,5,9
2018-01-06 10:00:00,40.678133,24.1,5,10
2018-01-06 11:00:00,43.19965177777778,24.1,5,11
2018-01-06 12:00:00,45.09711022222222,24.1,5,12
2018-01-06 13:00:00,46.27295688888889,24.1,5,13
2018-01-06 14:00:00,47.01753455555556,24.1,5,14
2018-01-06 15:00:00,46.81336411111111,24.1,5,15
2018-01-06 16:00:00,46.40825344444445,24.1,5,16
2018-01-06 17:00:00,45.633255999999996,24.1,5,17
2018-01-06 18:00:00,45.35876544444445,24.1,5,18
2018-01-06 19:00:00,45.218028333333336,24.1,5,19
2018-01-06 20:00:00,45.355614111111116,24.1,5,20
2018-01-06 21:00:00,45.070157333333334,24.1,5,21
2018-01-06 22:00:00,47.016817333333336,24.1,5,22
2018-01-06 23:00:00,46.15910011111111,24.1,5,23
2018-01-07 00:00:00,43.30852288888889,21.8,6,0
2018-01-07 01:00:00,39.612261777777775,21.8,6,1
2018-01-07 02:00:00,36.66100655555555,21.8,6,2
2018-01-07 03:00:00,33.81794222222223,21.8,6,3
2018-01-07 04:00:00,31.68319077777778,21.8,6,4
2018-01-07 05:00:00,30.959363444444445,21.8,6,5
2018-01-07 06:00:00,29.958116666666665,21.8,6,6
2018-01-07 07:00:00,29.19709577777778,21.8,6,7
2018-01-07 08:00:00,28.598498111111113,21.8,6,8
2018-01-07 09:00:00,29.927290000000003,21.8,6,9
2018-01-07 10:00:00,31.37372533333333,21.8,6,10
2018-01-07 11:00:00,33.96426411111111,21.8,6,11
2018-01-07 12:00:00,35.32466511111111,21.8,6,12
2018-01-07 13:00:00,36.79001488888889,21.8,6,13
2018-01-07 14:00:00,38.19191711111111,21.8,6,14
2018-01-07 15:00:00,39.429732888888886,21.8,6,15
2018-01-07 16:00:00,38.28471,21.8,6,16
2018-01-07 17:00:00,38.53250822222222,21.8,6,17
2018-01-07 18:00:00,39.741605666666665,21.8,6,18
2018-01-07 19:00:00,40.31686811111111,21.8,6,19
2018-01-07 20:00:00,40.339812,21.8,6,20
2018-01-07 21:00:00,41.186169,21.8,6,21
2018-01-07 22:00:00,45.16001466666667,21.8,6,22
2018-01-07 23:00:00,44.714837777777774,21.8,6,23
2018-01-08 00:00:00,41.55665777777778,21.2,0,0
2018-01-08 01:00:00,38.353274444444445,21.2,0,1
2018-01-08 02:00:00,35.21320722222222,21.2,0,2
2018-01-08 03:00:00,32.87250411111111,21.2,0,3
2018-01-08 04:00:00,31.69385377777778,21.2,0,4
2018-01-08 05:00:00,31.395956888888886,21.2,0,5
2018-01-08 06:00:00,32.77263222222222,21.2,0,6
2018-01-08 07:00:00,35.76033833333334,21.2,0,7
2018-01-08 08:00:00,39.96497988888889,21.2,0,8
2018-01-08 09:00:00,47.28753733333333,21.2,0,9
2018-01-08 10:00:00,51.66517666666667,21.2,0,10
2018-01-08 11:00:00,54.71428388888889,21.2,0,11
2018-01-08 12:00:00,57.261694,21.2,0,12
2018-01-08 13:00:00,59.28519522222223,21.2,0,13
2018-01-08 14:00:00,60.55512377777778,21.2,0,14
2018-01-08 15:00:00,62.63076244444445,21.2,0,15
2018-01-08 16:00:00,63.82391499999999,21.2,0,16
2018-01-08 17:00:00,63.66305266666667,21.2,0,17
2018-01-08 18:00:00,61.327145888888886,21.2,0,18
2018-01-08 19:00:00,55.98113133333333,21.2,0,19
2018-01-08 20:00:00,53.119228333333325,21.2,0,20
2018-01-08 21:00:00,51.26309244444444,21.2,0,21
2018-01-08 22:00:00,53.914864333333334,21.2,0,22
2018-01-08 23:00:00,51.954148888888895,21.2,0,23
2018-01-09 00:00:00,47.649421,21.3,1,0
2018-01-09 01:00:00,42.44432044444444,21.3,1,1
2018-01-09 02:00:00,38.44220622222222,21.3,1,2
2018-01-09 03:00:00,36.32642,21.3,1,3
2018-01-09 04:00:00,35.23187022222223,21.3,1,4
2018-01-09 05:00:00,34.911726,21.3,1,5
2018-01-09 06:00:00,36.25827955555556,21.3,1,6
2018-01-09 07:00:00,38.38845588888889,21.3,1,7
2018-01-09 08:00:00,41.925691,21.3,1,8
2018-01-09 09:00:00,47.739705666666666,21.3,1,9
2018-01-09 10:00:00,52.410605333333336,21.3,1,10
2018-01-09 11:00:00,55.681878555555556,21.3,1,11
2018-01-09 12:00:00,58.656778333333335,21.3,1,12
2018-01-09 13:00:00,60.08381311111111,21.3,1,13
2018-01-09 14:00:00,61.15496122222222,21.3,1,14
2018-01-09 15:00:00,62.92375277777777,21.3,1,15
2018-01-09 16:00:00,61.95349822222223,21.3,1,16
2018-01-09 17:00:00,61.79696577777778,21.3,1,17
2018-01-09 18:00:00,59.03397488888889,21.3,1,18
2018-01-09 19:00:00,54.956107777777774,21.3,1,19
2018-01-09 20:00:00,52.078800888888885,21.3,1,20
2018-01-09 21:00:00,50.040424111111115,21.3,1,21
2018-01-09 22:00:00,52.461992555555554,21.3,1,22
2018-01-09 23:00:00,52.09987111111111,21.3,1,23
2018-01-10 00:00:00,47.52096166666667,22.2,2,0
2018-01-10 01:00:00,42.46474277777778,22.2,2,1
2018-01-10 02:00:00,38.60031988888889,22.2,2,2
2018-01-10 03:00:00,36.29419677777778,22.2,2,3
2018-01-10 04:00:00,35.176943666666666,22.2,2,4
2018-01-10 05:00:00,34.69460844444445,22.2,2,5
2018-01-10 06:00:00,35.89976033333333,22.2,2,6
2018-01-10 07:00:00,38.59081755555556,22.2,2,7
2018-01-10 08:00:00,42.003669888888886,22.2,2,8
2018-01-10 09:00:00,48.592292888888885,22.2,2,9
2018-01-10 10:00:00,53.781111555555555,22.2,2,10
2018-01-10 11:00:00,57.48322011111111,22.2,2,11
2018-01-10 12:00:00,59.51886533333334,22.2,2,12
2018-01-10 13:00:00,62.874044777777776,22.2,2,13
2018-01-10 14:00:00,63.53230555555555,22.2,2,14
2018-01-10 15:00:00,62.50941133333333,22.2,2,15
2018-01-10 16:00:00,62.161704,22.2,2,16
2018-01-10 17:00:00,62.56759377777777,22.2,2,17
2018-01-10 18:00:00,59.93121011111111,22.2,2,18
2018-01-10 19:00:00,54.95097544444444,22.2,2,19
2018-01-10 20:00:00,51.91504144444444,22.2,2,20
2018-01-10 21:00:00,51.768734888888886,22.2,2,21
2018-01-10 22:00:00,54.19275488888889,22.2,2,22
2018-01-10 23:00:00,52.347762777777774,22.2,2,23
2018-01-11 00:00:00,48.12083211111111,21.0,3,0
2018-01-11 01:00:00,43.52981122222222,21.0,3,1
2018-01-11 02:00:00,39.32837822222222,21.0,3,2
2018-01-11 03:00:00,36.89719544444444,21.0,3,3
2018-01-11 04:00:00,35.85332077777778,21.0,3,4
2018-01-11 05:00:00,35.47316444444444,21.0,3,5
2018-01-11 06:00:00,36.537280555555554,21.0,3,6
2018-01-11 07:00:00,38.97348655555555,21.0,3,7
2018-01-11 08:00:00,42.42484833333333,21.0,3,8
2018-01-11 09:00:00,48.72627266666667,21.0,3,9
2018-01-11 10:00:00,52.648784111111105,21.0,3,10
2018-01-11 11:00:00,55.87761666666667,21.0,3,11
2018-01-11 12:00:00,58.13303788888889,21.0,3,12
2018-01-11 13:00:00,58.58392077777777,21.0,3,13
2018-01-11 14:00:00,59.59331511111111,21.0,3,14
2018-01-11 15:00:00,61.11596522222222,21.0,3,15
2018-01-11 16:00:00,61.98365922222222,21.0,3,16
2018-01-11 17:00:00,61.14675944444444,21.0,3,17
2018-01-11 18:00:00,58.454767999999994,21.0,3,18
2018-01-11 19:00:00,55.08575977777778,21.0,3,19
2018-01-11 20:00:00,52.07227211111111,21.0,3,20
2018-01-11 21:00:00,50.499018222222226,21.0,3,21
2018-01-11 22:00:00,52.992356,21.0,3,22
2018-01-11 23:00:00,48.591120555555555,21.0,3,23
2018-01-12 00:00:00,44.78273655555555,20.3,4,0
2018-01-12 01:00:00,39.996903,20.3,4,1
2018-01-12 02:00:00,36.65217233333333,20.3,4,2
2018-01-12 03:00:00,33.95596,20.3,4,3
2018-01-12 04:00:00,32.57094411111112,20.3,4,4
2018-01-12 05:00:00,31.929453,20.3,4,5
2018-01-12 06:00:00,33.47937433333333,20.3,4,6
2018-01-12 07:00:00,36.430455111111115,20.3,4,7
2018-01-12 08:00:00,41.24662844444444,20.3,4,8
2018-01-12 09:00:00,47.842649111111115,20.3,4,9
2018-01-12 10:00:00,53.009788444444446,20.3,4,10
2018-01-12 11:00:00,57.16583844444444,20.3,4,11
2018-01-12 12:00:00,59.76142633333333,20.3,4,12
2018-01-12 13:00:00,60.78009455555556,20.3,4,13
2018-01-12 14:00:00,61.708362666666666,20.3,4,14
2018-01-12 15:00:00,62.257103444444446,20.3,4,15
2018-01-12 16:00:00,60.84875688888889,20.3,4,16
2018-01-12 17:00:00,58.34645466666667,20.3,4,17
2018-01-12 18:00:00,56.47851255555556,20.3,4,18
2018-01-12 19:00:00,54.05766744444444,20.3,4,19
2018-01-12 20:00:00,50.06820833333333,20.3,4,20
2018-01-12 21:00:00,47.77130233333334,20.3,4,21
2018-01-12 22:00:00,48.929233555555555,20.3,4,22
2018-01-12 23:00:00,47.13148922222222,20.3,4,23
2018-01-13 00:00:00,43.80623555555556,20.3,5,0
2018-01-13 01:00:00,39.51341922222222,20.3,5,1
2018-01-13 02:00:00,36.29194977777777,20.3,5,2
2018-01-13 03:00:00,34.148435666666664,20.3,5,3
2018-01-13 04:00:00,32.96430388888889,20.3,5,4
2018-01-13 05:00:00,31.995571333333334,20.3,5,5
2018-01-13 06:00:00,31.643250111111108,20.3,5,6
2018-01-13 07:00:00,32.10574822222222,20.3,5,7
2018-01-13 08:00:00,32.745224444444446,20.3,5,8
2018-01-13 09:00:00,36.102653555555555,20.3,5,9
2018-01-13 10:00:00,40.41612822222223,20.3,5,10
2018-01-13 11:00:00,43.636024666666664,20.3,5,11
2018-01-13 12:00:00,44.73078633333333,20.3,5,12
2018-01-13 13:00:00,45.96497933333333,20.3,5,13
2018-01-13 14:00:00,46.30909811111111,20.3,5,14
2018-01-13 15:00:00,45.82396055555556,20.3,5,15
2018-01-13 16:00:00,44.95368511111111,20.3,5,16
2018-01-13 17:00:00,43.58170688888889,20.3,5,17
2018-01-13 18:00:00,41.996425,20.3,5,18
2018-01-13 19:00:00,40.32606911111111,20.3,5,19
2018-01-13 20:00:00,38.75740322222222,20.3,5,20
2018-01-13 21:00:00,42.23236222222223,20.3,5,21
2018-01-13 22:00:00,45.27247088888889,20.3,5,22
2018-01-13 23:00:00,43.83892788888889,20.3,5,23
2018-01-14 00:00:00,40.96249111111111,19.1,6,0
2018-01-14 01:00:00,37.54898111111111,19.1,6,1
2018-01-14 02:00:00,34.380236999999994,19.1,6,2
2018-01-14 03:00:00,31.894852333333333,19.1,6,3
2018-01-14 04:00:00,30.12589433333333,19.1,6,4
2018-01-14 05:00:00,28.998264777777777,19.1,6,5
2018-01-14 06:00:00,28.887037000000003,19.1,6,6
2018-01-14 07:00:00,28.566850444444444,19.1,6,7
