date,consumption,t_media,w,h
2018-01-01 00:00:00,53.123909,20.2,0,0
2018-01-01 01:00:00,50.200527,20.2,0,1
2018-01-01 02:00:00,47.29336025,20.2,0,2
2018-01-01 03:00:00,45.252735,20.2,0,3
2018-01-01 04:00:00,42.2401515,20.2,0,4
2018-01-01 05:00:00,37.51699925,20.2,0,5
2018-01-01 06:00:00,33.885839,20.2,0,6
2018-01-01 07:00:00,28.594104,20.2,0,7
2018-01-01 08:00:00,26.95285425,20.2,0,8
2018-01-01 09:00:00,31.704131750000002,20.2,0,9
2018-01-01 10:00:00,36.02342975,20.2,0,10
2018-01-01 11:00:00,39.98361025,20.2,0,11
2018-01-01 12:00:00,46.482991999999996,20.2,0,12
2018-01-01 13:00:00,55.612235,20.2,0,13
2018-01-01 14:00:00,61.538429750000006,20.2,0,14
2018-01-01 15:00:00,64.35744375,20.2,0,15
2018-01-01 16:00:00,63.172318499999996,20.2,0,16
2018-01-01 17:00:00,62.74823525,20.2,0,17
2018-01-01 18:00:00,60.15515225,20.2,0,18
2018-01-01 19:00:00,59.085741999999996,20.2,0,19
2018-01-01 20:00:00,56.924186750000004,20.2,0,20
2018-01-01 21:00:00,60.96868675,20.2,0,21
2018-01-01 22:00:00,68.29568025,20.2,0,22
2018-01-01 23:00:00,69.16934675,20.2,0,23
2018-01-02 00:00:00,60.58152725,21.1,1,0
2018-01-02 01:00:00,54.3862075,21.1,1,1
2018-01-02 02:00:00,50.59344325,21.1,1,2
2018-01-02 03:00:00,46.66615175,21.1,1,3
2018-01-02 04:00:00,43.7358535,21.1,1,4
2018-01-02 05:00:00,42.2584435,21.1,1,5
2018-01-02 06:00:00,45.11359625,21.1,1,6
2018-01-02 07:00:00,50.9115475,21.1,1,7
2018-01-02 08:00:00,66.73724275000001,21.1,1,8
2018-01-02 09:00:00,83.26040325,21.1,1,9
2018-01-02 10:00:00,96.32380625,21.1,1,10
2018-01-02 11:00:00,110.69424375,21.1,1,11
2018-01-02 12:00:00,117.2162515,21.1,1,12
2018-01-02 13:00:00,124.9798485,21.1,1,13
2018-01-02 14:00:00,127.419404,21.1,1,14
2018-01-02 15:00:00,126.76205675,21.1,1,15
2018-01-02 16:00:00,124.72631375,21.1,1,16
2018-01-02 17:00:00,120.8025845,21.1,1,17
2018-01-02 18:00:00,117.4168345,21.1,1,18
2018-01-02 19:00:00,110.946626,21.1,1,19
2018-01-02 20:00:00,102.38047975,21.1,1,20
2018-01-02 21:00:00,96.386341,21.1,1,21
2018-01-02 22:00:00,95.74264625,21.1,1,22
2018-01-02 23:00:00,87.53232700000001,21.1,1,23
2018-01-03 00:00:00,82.082306,22.3,2,0
2018-01-03 01:00:00,71.83397275,22.3,2,1
2018-01-03 02:00:00,63.03542325,22.3,2,2
2018-01-03 03:00:00,58.74037475,22.3,2,3
2018-01-03 04:00:00,55.7020625,22.3,2,4
2018-01-03 05:00:00,56.2095415,22.3,2,5
2018-01-03 06:00:00,56.39915975,22.3,2,6
2018-01-03 07:00:00,59.544638750000004,22.3,2,7
2018-01-03 08:00:00,72.05423625,22.3,2,8
2018-01-03 09:00:00,87.78634775,22.3,2,9
2018-01-03 10:00:00,102.213765,22.3,2,10
2018-01-03 11:00:00,109.987196,22.3,2,11
2018-01-03 12:00:00,117.91607775,22.3,2,12
2018-01-03 13:00:00,121.865557,22.3,2,13
2018-01-03 14:00:00,125.66727200000001,22.3,2,14
2018-01-03 15:00:00,131.81428599999998,22.3,2,15
2018-01-03 16:00:00,128.1920205,22.3,2,16
2018-01-03 17:00:00,127.54909025,22.3,2,17
2018-01-03 18:00:00,123.5176195,22.3,2,18
2018-01-03 19:00:00,115.92304325,22.3,2,19
2018-01-03 20:00:00,107.48254975,22.3,2,20
2018-01-03 21:00:00,99.666911,22.3,2,21
2018-01-03 22:00:00,100.41406325,22.3,2,22
2018-01-03 23:00:00,97.17972950000001,22.3,2,23
2018-01-04 00:00:00,90.019313,21.9,3,0
2018-01-04 01:00:00,78.68314625000001,21.9,3,1
2018-01-04 02:00:00,70.91564625,21.9,3,2
2018-01-04 03:00:00,65.9691875,21.9,3,3
2018-01-04 04:00:00,62.40947875,21.9,3,4
2018-01-04 05:00:00,61.8284375,21.9,3,5
2018-01-04 06:00:00,64.51190975,21.9,3,6
2018-01-04 07:00:00,67.61375025,21.9,3,7
2018-01-04 08:00:00,77.06992425,21.9,3,8
2018-01-04 09:00:00,93.401945,21.9,3,9
2018-01-04 10:00:00,105.62797325,21.9,3,10
2018-01-04 11:00:00,117.84034875,21.9,3,11
2018-01-04 12:00:00,126.3553555,21.9,3,12
2018-01-04 13:00:00,130.415043,21.9,3,13
2018-01-04 14:00:00,132.03674425,21.9,3,14
2018-01-04 15:00:00,135.25495225,21.9,3,15
2018-01-04 16:00:00,140.56226925,21.9,3,16
2018-01-04 17:00:00,138.16456775,21.9,3,17
2018-01-04 18:00:00,131.07926325,21.9,3,18
2018-01-04 19:00:00,120.43400125,21.9,3,19
2018-01-04 20:00:00,115.61966100000001,21.9,3,20
2018-01-04 21:00:00,110.987904,21.9,3,21
2018-01-04 22:00:00,113.70027225,21.9,3,22
2018-01-04 23:00:00,109.28481375,21.9,3,23
2018-01-05 00:00:00,98.59522325,22.2,4,0
2018-01-05 01:00:00,81.8039655,22.2,4,1
2018-01-05 02:00:00,67.78295849999999,22.2,4,2
2018-01-05 03:00:00,63.09823625,22.2,4,3
2018-01-05 04:00:00,59.1750415,22.2,4,4
2018-01-05 05:00:00,62.07808325,22.2,4,5
2018-01-05 06:00:00,64.8694235,22.2,4,6
2018-01-05 07:00:00,65.088403,22.2,4,7
2018-01-05 08:00:00,76.41391025,22.2,4,8
2018-01-05 09:00:00,91.90674375,22.2,4,9
2018-01-05 10:00:00,102.03273725,22.2,4,10
2018-01-05 11:00:00,112.18247925,22.2,4,11
2018-01-05 12:00:00,112.22904925,22.2,4,12
2018-01-05 13:00:00,112.453938,22.2,4,13
2018-01-05 14:00:00,113.955577,22.2,4,14
2018-01-05 15:00:00,115.49440325,22.2,4,15
2018-01-05 16:00:00,114.566364,22.2,4,16
2018-01-05 17:00:00,112.37559075,22.2,4,17
2018-01-05 18:00:00,109.802695,22.2,4,18
2018-01-05 19:00:00,99.87013225000001,22.2,4,19
2018-01-05 20:00:00,90.44545099999999,22.2,4,20
2018-01-05 21:00:00,84.52938175,22.2,4,21
2018-01-05 22:00:00,84.41209725,22.2,4,22
2018-01-05 23:00:00,87.29302825,22.2,4,23
2018-01-06 00:00:00,81.294424,24.1,5,0
2018-01-06 01:00:00,74.724667,24.1,5,1
2018-01-06 02:00:00,68.50322925,24.1,5,2
2018-01-06 03:00:00,64.58065275,24.1,5,3
2018-01-06 04:00:00,61.45333325,24.1,5,4
2018-01-06 05:00:00,56.52070125,24.1,5,5
2018-01-06 06:00:00,54.752722,24.1,5,6
2018-01-06 07:00:00,53.826277749999996,24.1,5,7
2018-01-06 08:00:00,59.26713175,24.1,5,8
2018-01-06 09:00:00,68.373243,24.1,5,9
2018-01-06 10:00:00,76.22198675,24.1,5,10
2018-01-06 11:00:00,84.97714625,24.1,5,11
2018-01-06 12:00:00,89.97531975,24.1,5,12
2018-01-06 13:00:00,91.66234075,24.1,5,13
2018-01-06 14:00:00,92.086035,24.1,5,14
2018-01-06 15:00:00,91.75541,24.1,5,15
2018-01-06 16:00:00,91.8611185,24.1,5,16
2018-01-06 17:00:00,91.499945,24.1,5,17
2018-01-06 18:00:00,90.74168800000001,24.1,5,18
2018-01-06 19:00:00,88.08479224999999,24.1,5,19
2018-01-06 20:00:00,84.88512575,24.1,5,20
2018-01-06 21:00:00,78.78104225,24.1,5,21
2018-01-06 22:00:00,79.16541725,24.1,5,22
2018-01-06 23:00:00,76.53150049999999,24.1,5,23
2018-01-07 00:00:00,70.801014,21.8,6,0
2018-01-07 01:00:00,62.3615485,21.8,6,1
2018-01-07 02:00:00,53.34491625,21.8,6,2
2018-01-07 03:00:00,49.380514000000005,21.8,6,3
2018-01-07 04:00:00,49.68801375,21.8,6,4
2018-01-07 05:00:00,43.78497825,21.8,6,5
2018-01-07 06:00:00,46.405916000000005,21.8,6,6
2018-01-07 07:00:00,42.062895,21.8,6,7
2018-01-07 08:00:00,41.99651275,21.8,6,8
2018-01-07 09:00:00,49.011013250000005,21.8,6,9
2018-01-07 10:00:00,55.87538175,21.8,6,10
2018-01-07 11:00:00,31.839142250000002,21.8,6,11
2018-01-07 12:00:00,31.9127535,21.8,6,12
2018-01-07 13:00:00,33.786503499999995,21.8,6,13
2018-01-07 14:00:00,72.42497875000001,21.8,6,14
2018-01-07 15:00:00,72.70971475,21.8,6,15
2018-01-07 16:00:00,69.0597015,21.8,6,16
2018-01-07 17:00:00,66.83309025,21.8,6,17
2018-01-07 18:00:00,65.7895485,21.8,6,18
2018-01-07 19:00:00,65.6441805,21.8,6,19
2018-01-07 20:00:00,67.34931925,21.8,6,20
2018-01-07 21:00:00,66.823354,21.8,6,21
2018-01-07 22:00:00,70.08530525,21.8,6,22
2018-01-07 23:00:00,69.95179850000001,21.8,6,23
2018-01-08 00:00:00,64.2265345,21.2,0,0
2018-01-08 01:00:00,52.83375675,21.2,0,1
2018-01-08 02:00:00,44.98552025,21.2,0,2
2018-01-08 03:00:00,42.25747825,21.2,0,3
2018-01-08 04:00:00,42.001054499999995,21.2,0,4
2018-01-08 05:00:00,42.7193255,21.2,0,5
2018-01-08 06:00:00,45.94042325,21.2,0,6
2018-01-08 07:00:00,50.967360750000005,21.2,0,7
2018-01-08 08:00:00,61.8181595,21.2,0,8
2018-01-08 09:00:00,82.96100725,21.2,0,9
2018-01-08 10:00:00,100.037501,21.2,0,10
2018-01-08 11:00:00,107.25363325000001,21.2,0,11
2018-01-08 12:00:00,110.75291775,21.2,0,12
2018-01-08 13:00:00,114.02918875,21.2,0,13
2018-01-08 14:00:00,115.50247350000001,21.2,0,14
2018-01-08 15:00:00,118.00800125,21.2,0,15
2018-01-08 16:00:00,120.18055700000001,21.2,0,16
2018-01-08 17:00:00,117.47852900000001,21.2,0,17
2018-01-08 18:00:00,115.295293,21.2,0,18
2018-01-08 19:00:00,108.04303575,21.2,0,19
2018-01-08 20:00:00,98.609098,21.2,0,20
2018-01-08 21:00:00,92.84934799999999,21.2,0,21
2018-01-08 22:00:00,94.426327,21.2,0,22
2018-01-08 23:00:00,87.81447275000001,21.2,0,23
2018-01-09 00:00:00,81.02267425,21.3,1,0
2018-01-09 01:00:00,72.6501325,21.3,1,1
2018-01-09 02:00:00,67.34289625,21.3,1,2
2018-01-09 03:00:00,59.32826375,21.3,1,3
2018-01-09 04:00:00,55.07438875,21.3,1,4
2018-01-09 05:00:00,52.358618,21.3,1,5
2018-01-09 06:00:00,52.55309,21.3,1,6
2018-01-09 07:00:00,60.49681925,21.3,1,7
2018-01-09 08:00:00,73.29767425,21.3,1,8
2018-01-09 09:00:00,89.53072275,21.3,1,9
