date,consumption,t_media,w,h
2018-01-01 00:00:00,54.668762,20.2,0,0
2018-01-01 01:00:00,50.56419125000001,20.2,0,1
2018-01-01 02:00:00,48.80425225,20.2,0,2
2018-01-01 03:00:00,45.335074750000004,20.2,0,3
2018-01-01 04:00:00,43.10264325,20.2,0,4
2018-01-01 05:00:00,42.5717515,20.2,0,5
2018-01-01 06:00:00,42.058437749999996,20.2,0,6
2018-01-01 07:00:00,40.068824500000005,20.2,0,7
2018-01-01 08:00:00,37.053853,20.2,0,8
2018-01-01 09:00:00,36.980203,20.2,0,9
2018-01-01 10:00:00,38.3592115,20.2,0,10
2018-01-01 11:00:00,40.6500265,20.2,0,11
2018-01-01 12:00:00,41.8897585,20.2,0,12
2018-01-01 13:00:00,41.7368265,20.2,0,13
2018-01-01 14:00:00,42.66407875,20.2,0,14
2018-01-01 15:00:00,42.940019,20.2,0,15
2018-01-01 16:00:00,42.364008749999996,20.2,0,16
2018-01-01 17:00:00,41.40628775,20.2,0,17
2018-01-01 18:00:00,42.09017675,20.2,0,18
2018-01-01 19:00:00,41.96353925,20.2,0,19
2018-01-01 20:00:00,43.013954,20.2,0,20
2018-01-01 21:00:00,43.559819749999996,20.2,0,21
2018-01-01 22:00:00,49.732473,20.2,0,22
2018-01-01 23:00:00,49.834533,20.2,0,23
2018-01-02 00:00:00,47.04906575,21.1,1,0
2018-01-02 01:00:00,41.53745825,21.1,1,1
2018-01-02 02:00:00,36.80457375,21.1,1,2
2018-01-02 03:00:00,35.193929,21.1,1,3
2018-01-02 04:00:00,34.93848075,21.1,1,4
2018-01-02 05:00:00,34.7349865,21.1,1,5
2018-01-02 06:00:00,35.091868500000004,21.1,1,6
2018-01-02 07:00:00,37.64054025,21.1,1,7
2018-01-02 08:00:00,41.51717825,21.1,1,8
2018-01-02 09:00:00,51.6376615,21.1,1,9
2018-01-02 10:00:00,58.835012250000005,21.1,1,10
2018-01-02 11:00:00,62.86559125,21.1,1,11
2018-01-02 12:00:00,67.334963,21.1,1,12
2018-01-02 13:00:00,71.908763,21.1,1,13
2018-01-02 14:00:00,74.23739575,21.1,1,14
2018-01-02 15:00:00,77.371916,21.1,1,15
2018-01-02 16:00:00,77.9242115,21.1,1,16
2018-01-02 17:00:00,76.4021995,21.1,1,17
2018-01-02 18:00:00,74.52213325,21.1,1,18
2018-01-02 19:00:00,69.48386475,21.1,1,19
2018-01-02 20:00:00,65.094198,21.1,1,20
2018-01-02 21:00:00,63.289719000000005,21.1,1,21
2018-01-02 22:00:00,68.85527425,21.1,1,22
2018-01-02 23:00:00,68.089011,21.1,1,23
2018-01-03 00:00:00,60.74528725,22.3,2,0
2018-01-03 01:00:00,53.558288,22.3,2,1
2018-01-03 02:00:00,48.9547185,22.3,2,2
2018-01-03 03:00:00,45.4849795,22.3,2,3
2018-01-03 04:00:00,43.90337175,22.3,2,4
2018-01-03 05:00:00,42.71704975,22.3,2,5
